"","X","Year","Company","Vineyard","Treatment","Rep","TreatmentAge","ShootCt","ClusterCt","FFNS","ShootMCane","ShootFtCane","ClusterMCane","ClusterFtCane","ShootCt.1","PreClusterCt","PostClusterCt","PercThin","FFNS.1","ShootMRow","ShootFtRow","ShootMCane.1","ShootFtCane.1","PreClMRow","PreClFtRow","PreClMCane","PreClFtCane","PostClMRow","PostClFtRow","PostClMCane","PostClFtCane","LeafN","LeafP","LeafK","LeafCa","LeafMg","LeafB","LeafCu","LeafFe","LeafMn","LeafZn","LeafNa","PetN","PetP","PetK","PetCa","PetMg","PetB","PetCu","PetFe","PetMn","PetZn","PetNa","TSS","pH","TA","ammoniaN","aaN","YAN","HarvestDate","ClusterCt.1","ClusterWt","Yield","KgMRow","LbFtRow","KgMCane","LbFtCane","ClusterMRow","ClusterFtRow","ClusterMCane.1","ClusterFtCane.1","ShootCt.2","PW","Canewt","PWMRow","PWFtRow","PWMCane","PWFtCane","ShootMRow.1","ShootFtRow.1","ShootMCane.2","ShootFtCane.2","Ravaz","anthos.std","tannins.std","phenolics.std","grid_num","ID","Y_Tavg","Y_Tmin","Y_Tmax","Y_Pr","GS_Tavg","GS_Tmin","GS_Tmax","GS_Pr","GS_Hug","GS_Gdd","DS_Pr","DS_Pr2mm","BB_Tavg","BB_Tmin","BB_Tmax","BB_Pr","BB_Tmin0C","FLO_Tavg","FLO_Tmin","FLO_Tmax","FLO_Pr","FLO_Pr2mm","FLO_Tmax35C","VER_Tavg","VER_Tmin","VER_Tmax","VER_Pr","VER_Tmax35C","H_Tavg","H_Tmin","H_Tmax","H_Pr","H_Pr2mm","H_Tmax35C","DEC_Y_Tavg","DEC_Y_Tmin","DEC_Y_Tmax","DEC_Y_Pr","DEC_GS_Tavg","DEC_GS_Tmin","DEC_GS_Tmax","DEC_GS_Pr","DEC_GS_Hug","DEC_GS_Gdd","DEC_DS_Pr","DEC_DS_Pr2mm","GS_Etp","BB_Etp","FLO_Etp","VER_Etp","H_Etp","DEC_GS_Etp","BB_B_Hu","B_V_Hu","V_H_Hu","BB_H_Hu","GS_XL_Hu","BB_B_nDays","B_V_nDays","V_H_nDays","BB_H_nDays","INI_Tavg","INI_Tmin","INI_Tmax","INI_Ra_net","INI_Pr","FLO_Ra_net","VER_Water_deficit","lon","lat","Rootstock"
"61",55,2014,"Airlie","estate","1cls",2,2,44.3,51.4,1.16,12.11,3.69,14.05,4.28,44.4,55.2,44,19.07,0.99,24.28,7.4,12.14,3.7,30.18,9.2,15.09,4.6,24.06,7.33,12.03,3.67,1.91,0.16,0.67,2.7,0.62,51,5,97,245,13,0.01,0.4,0.18,0.74,1.75,0.84,29,7,43,321,27,0.04,24.7,3.39,5.9,16,73,86,41920,45.9,71.57,3.29,1.8,1.21,0.9,0.6,25.1,7.65,12.55,3.83,42.5,0.64,16.55,0.35,0.23,0.17,0.12,23.22,7.08,11.61,3.54,5.16,911,639,1550,1625,1625,12.20541047,6.24193204,18.16888891,1392.858051,16.36419981,9.029446586,23.69895303,384.5392152,2952.351022,1386.813587,99.63526215,15,12.84554286,6.05605458,19.63503113,146.8611928,0,15.69111024,8.380776574,23.0014439,9.710964539,2,0,20.55972099,12.24813657,28.87130541,35.91445942,3,19.00291509,10.55107416,27.45475603,33.80307331,4,1,11.65481651,5.734579614,17.57505341,1268.687259,15.6285852,8.341195654,22.91597475,370.1108488,2714.084105,1249.506121,84.44511681,12.7,884.070012,224.3769293,101.1631255,302.5572148,195.3312621,860.6049488,239.767928,613.8984523,405.1311793,1243.441838,1386.813587,69,63,45,175,15.63151961,9.17579594,22.08724328,20.61333356,29.51849282,459.9424488,266.6427553,-123.348448162186,44.7264128995417,"OWNR"
"62",56,2014,"Airlie","estate","1cls",3,2,40.6,55.1,1.34,11.1,3.38,15.06,4.59,39.5,61.7,38.9,35.47,0.98,21.6,6.58,10.8,3.29,33.74,10.28,16.87,5.14,21.27,6.48,10.64,3.24,1.91,0.15,0.55,2.87,0.48,45,5,106,204,13,0.01,0.5,0.15,1.05,1.94,0.82,40,8,45,322,37,0.04,26.9,3.43,5.6,13,82,93,41920,37.6,63.01,2.37,1.3,0.87,0.65,0.44,20.56,6.27,10.28,3.13,41,0.77,20.73,0.42,0.28,0.21,0.14,22.4,6.83,11.2,3.42,3.09,965,846,1811,1625,1625,12.20541047,6.24193204,18.16888891,1392.858051,16.36419981,9.029446586,23.69895303,384.5392152,2952.351022,1386.813587,99.63526215,15,12.84554286,6.05605458,19.63503113,146.8611928,0,15.69111024,8.380776574,23.0014439,9.710964539,2,0,20.55972099,12.24813657,28.87130541,35.91445942,3,19.00291509,10.55107416,27.45475603,33.80307331,4,1,11.65481651,5.734579614,17.57505341,1268.687259,15.6285852,8.341195654,22.91597475,370.1108488,2714.084105,1249.506121,84.44511681,12.7,884.070012,224.3769293,101.1631255,302.5572148,195.3312621,860.6049488,239.767928,613.8984523,405.1311793,1243.441838,1386.813587,69,63,45,175,15.63151961,9.17579594,22.08724328,20.61333356,29.51849282,459.9424488,266.6427553,-123.348448162186,44.7264128995417,"OWNR"
"63",57,2014,"Airlie","estate","NoThin",2,2,44.8,50.2,1.13,12.25,3.73,13.72,4.18,41.1,51.4,51.4,0,1.25,22.47,6.85,11.24,3.43,28.11,8.57,14.05,4.28,28.11,8.57,14.05,4.28,1.89,0.15,0.57,3.07,0.58,45,7,97,274,12,0.02,0.6,0.15,1.01,2.02,0.91,40,9,60,482,28,0.04,25.3,3.3,6.3,16,78,91,41920,46.5,45.42,2.11,0.58,0.39,0.29,0.19,25.43,7.75,12.71,3.88,43.5,0.71,17.85,0.39,0.26,0.19,0.13,23.77,7.25,11.89,3.63,3,1010,740,1750,1625,1625,12.20541047,6.24193204,18.16888891,1392.858051,16.36419981,9.029446586,23.69895303,384.5392152,2952.351022,1386.813587,99.63526215,15,12.84554286,6.05605458,19.63503113,146.8611928,0,15.69111024,8.380776574,23.0014439,9.710964539,2,0,20.55972099,12.24813657,28.87130541,35.91445942,3,19.00291509,10.55107416,27.45475603,33.80307331,4,1,11.65481651,5.734579614,17.57505341,1268.687259,15.6285852,8.341195654,22.91597475,370.1108488,2714.084105,1249.506121,84.44511681,12.7,884.070012,224.3769293,101.1631255,302.5572148,195.3312621,860.6049488,239.767928,613.8984523,405.1311793,1243.441838,1386.813587,69,63,45,175,15.63151961,9.17579594,22.08724328,20.61333356,29.51849282,459.9424488,266.6427553,-123.348448162186,44.7264128995417,"OWNR"
"64",58,2014,"Airlie","estate","NoThin",3,2,43.7,53,1.21,11.95,3.64,14.49,4.42,39.6,54.6,54.6,0,1.38,21.65,6.6,10.83,3.3,29.86,9.1,14.93,4.55,29.86,9.1,14.93,4.55,2.05,0.15,0.58,2.82,0.46,44,5,91,193,11,0.01,0.41,0.15,1.33,1.75,0.71,36,8,39,343,27,0.04,24.6,3.35,6.1,13,72,83,41920,53.8,76,4.09,1.12,0.75,0.56,0.38,29.42,8.97,14.71,4.48,42.9,0.71,18.2,0.39,0.26,0.19,0.13,23.44,7.15,11.72,3.58,5.78,912,713,1625,1625,1625,12.20541047,6.24193204,18.16888891,1392.858051,16.36419981,9.029446586,23.69895303,384.5392152,2952.351022,1386.813587,99.63526215,15,12.84554286,6.05605458,19.63503113,146.8611928,0,15.69111024,8.380776574,23.0014439,9.710964539,2,0,20.55972099,12.24813657,28.87130541,35.91445942,3,19.00291509,10.55107416,27.45475603,33.80307331,4,1,11.65481651,5.734579614,17.57505341,1268.687259,15.6285852,8.341195654,22.91597475,370.1108488,2714.084105,1249.506121,84.44511681,12.7,884.070012,224.3769293,101.1631255,302.5572148,195.3312621,860.6049488,239.767928,613.8984523,405.1311793,1243.441838,1386.813587,69,63,45,175,15.63151961,9.17579594,22.08724328,20.61333356,29.51849282,459.9424488,266.6427553,-123.348448162186,44.7264128995417,"OWNR"
"65",59,2014,"BH","Justice","1cls",1,4,12,18.3,1.52,13.12,4,20.01,6.1,12,18.3,10.2,43.66,0.85,13.12,4,13.12,4,20.01,6.1,20.01,6.1,11.15,3.4,11.15,3.4,2.06,0.19,1.09,2.67,0.19,18,8,133,365,12,0.01,0.43,0.26,1.52,1.73,0.54,27,5,55,820,69,0.02,23.5,3.49,4.6,69,100,157,41909,11.9,105.88,1.26,1.38,0.93,1.38,0.93,13.08,3.97,13.08,3.97,13,0.57,51.82,0.62,0.42,0.62,0.42,14.29,4.33,14.29,4.33,2.21,682,395,1077,1412,1412,12.37475817,6.945694131,17.80382222,1232.235664,16.6348288,9.913540811,23.35611679,417.2815022,2972.829101,1442.495743,101.2774934,14,12.96377875,6.778675097,19.14888239,126.8078043,0,15.45544501,8.675003329,22.2358867,15.55841208,3,0,20.717157,12.96281599,28.471498,41.85558685,3,19.63355713,11.94598355,27.3211307,36.80625907,4,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,863.8178982,209.6278821,97.6515128,301.11308,190.1653572,844.0893253,243.2791427,625.0305765,423.8765136,1278.513785,1442.495743,67,64,44,173,15.64916724,9.866969501,21.43136497,19.46164893,39.57277935,441.6607693,259.2574931,-123.149440267382,45.033901954576,"SHWM"
"66",60,2014,"BH","Justice","1cls",2,4,13.1,20.7,1.58,14.33,4.37,22.64,6.9,13.1,20.7,11.3,44.26,0.86,14.33,4.37,14.33,4.37,22.64,6.9,22.64,6.9,12.36,3.77,12.36,3.77,2.24,0.14,1.19,2.69,0.3,15,7,118,396,15,0.01,0.48,0.13,3.21,1.44,0.54,23,4,28,765,102,0.02,23.4,3.58,4,51,87,129,41909,13.3,99.47,1.32,1.45,0.97,1.45,0.97,14.62,4.43,14.62,4.43,14.2,0.79,64.51,0.86,0.58,0.86,0.58,15.6,4.73,15.6,4.73,1.68,908,386,1294,1412,1412,12.37475817,6.945694131,17.80382222,1232.235664,16.6348288,9.913540811,23.35611679,417.2815022,2972.829101,1442.495743,101.2774934,14,12.96377875,6.778675097,19.14888239,126.8078043,0,15.45544501,8.675003329,22.2358867,15.55841208,3,0,20.717157,12.96281599,28.471498,41.85558685,3,19.63355713,11.94598355,27.3211307,36.80625907,4,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,863.8178982,209.6278821,97.6515128,301.11308,190.1653572,844.0893253,243.2791427,625.0305765,423.8765136,1278.513785,1442.495743,67,64,44,173,15.64916724,9.866969501,21.43136497,19.46164893,39.57277935,441.6607693,259.2574931,-123.149440267382,45.033901954576,"SHWM"
"67",61,2014,"BH","Justice","1cls",3,4,11.6,18.3,1.6,12.69,3.87,20.01,6.1,11.6,18.3,9.9,45.58,0.85,12.69,3.87,12.69,3.87,20.01,6.1,20.01,6.1,10.83,3.3,10.83,3.3,1.95,0.17,1.44,2.6,0.24,19,6,95,387,18,0.01,0.44,0.24,3.23,1.68,0.48,24,4,30,769,94,0.02,24.3,3.56,4.5,43,80,115,41909,10.5,119.33,1.25,1.37,0.92,1.37,0.92,11.54,3.5,11.54,3.5,12.9,0.57,51.83,0.62,0.42,0.62,0.42,14.18,4.3,14.18,4.3,2.22,684,380,1064,1412,1412,12.37475817,6.945694131,17.80382222,1232.235664,16.6348288,9.913540811,23.35611679,417.2815022,2972.829101,1442.495743,101.2774934,14,12.96377875,6.778675097,19.14888239,126.8078043,0,15.45544501,8.675003329,22.2358867,15.55841208,3,0,20.717157,12.96281599,28.471498,41.85558685,3,19.63355713,11.94598355,27.3211307,36.80625907,4,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,863.8178982,209.6278821,97.6515128,301.11308,190.1653572,844.0893253,243.2791427,625.0305765,423.8765136,1278.513785,1442.495743,67,64,44,173,15.64916724,9.866969501,21.43136497,19.46164893,39.57277935,441.6607693,259.2574931,-123.149440267382,45.033901954576,"SHWM"
"68",62,2014,"BH","Justice","NoThin",1,4,12.7,20.8,1.64,13.89,4.23,22.75,6.93,12.7,20.8,20.8,0,1.64,13.89,4.23,13.89,4.23,22.75,6.93,22.75,6.93,22.75,6.93,22.75,6.93,2.4,0.17,1.15,2.46,0.18,16,10,135,379,17,0.01,0.51,0.2,2.53,1.6,0.55,22,2,33,630,88,0.02,22.8,3.43,5.2,59,85,134,41909,21.9,109.59,2.4,2.62,1.76,2.62,1.76,24.07,7.3,24.07,7.3,14.1,0.73,60,0.79,0.53,0.79,0.53,15.49,4.7,15.49,4.7,3.31,569,338,907,1412,1412,12.37475817,6.945694131,17.80382222,1232.235664,16.6348288,9.913540811,23.35611679,417.2815022,2972.829101,1442.495743,101.2774934,14,12.96377875,6.778675097,19.14888239,126.8078043,0,15.45544501,8.675003329,22.2358867,15.55841208,3,0,20.717157,12.96281599,28.471498,41.85558685,3,19.63355713,11.94598355,27.3211307,36.80625907,4,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,863.8178982,209.6278821,97.6515128,301.11308,190.1653572,844.0893253,243.2791427,625.0305765,423.8765136,1278.513785,1442.495743,67,64,44,173,15.64916724,9.866969501,21.43136497,19.46164893,39.57277935,441.6607693,259.2574931,-123.149440267382,45.033901954576,"SHWM"
"69",63,2014,"BH","Justice","NoThin",2,4,12.5,19.1,1.54,13.67,4.17,20.89,6.37,12.5,19.1,19.1,0,1.53,13.67,4.17,13.67,4.17,20.89,6.37,20.89,6.37,20.89,6.37,20.89,6.37,2.4,0.18,1.17,2.62,0.19,16,9,124,326,13,0.01,0.46,0.3,3.07,1.82,0.48,26,4,81,789,71,0.02,23.3,3.49,5,81,120,187,41909,21.5,105.4,2.27,2.48,1.67,2.48,1.67,23.63,7.17,23.63,7.17,13.5,0.71,62.09,0.78,0.52,0.78,0.52,14.84,4.5,14.84,4.5,3.17,590,283,873,1412,1412,12.37475817,6.945694131,17.80382222,1232.235664,16.6348288,9.913540811,23.35611679,417.2815022,2972.829101,1442.495743,101.2774934,14,12.96377875,6.778675097,19.14888239,126.8078043,0,15.45544501,8.675003329,22.2358867,15.55841208,3,0,20.717157,12.96281599,28.471498,41.85558685,3,19.63355713,11.94598355,27.3211307,36.80625907,4,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,863.8178982,209.6278821,97.6515128,301.11308,190.1653572,844.0893253,243.2791427,625.0305765,423.8765136,1278.513785,1442.495743,67,64,44,173,15.64916724,9.866969501,21.43136497,19.46164893,39.57277935,441.6607693,259.2574931,-123.149440267382,45.033901954576,"SHWM"
"70",64,2014,"BH","Justice","NoThin",3,4,12.3,19.2,1.56,13.45,4.1,21,6.4,12.3,19.2,19.2,0,1.56,13.45,4.1,13.45,4.1,21,6.4,21,6.4,21,6.4,21,6.4,2.13,0.15,1.26,2.74,0.23,19,7,140,355,20,0.01,0.43,0.14,2.31,1.37,0.43,22,4,36,638,88,0.01,22.4,3.4,5.3,32,51,77,41909,22.2,115.5,2.56,2.8,1.88,2.8,1.88,24.4,7.4,24.4,7.4,13.6,0.54,46.81,0.59,0.4,0.59,0.4,14.95,4.53,14.95,4.53,4.72,627,418,1045,1412,1412,12.37475817,6.945694131,17.80382222,1232.235664,16.6348288,9.913540811,23.35611679,417.2815022,2972.829101,1442.495743,101.2774934,14,12.96377875,6.778675097,19.14888239,126.8078043,0,15.45544501,8.675003329,22.2358867,15.55841208,3,0,20.717157,12.96281599,28.471498,41.85558685,3,19.63355713,11.94598355,27.3211307,36.80625907,4,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,863.8178982,209.6278821,97.6515128,301.11308,190.1653572,844.0893253,243.2791427,625.0305765,423.8765136,1278.513785,1442.495743,67,64,44,173,15.64916724,9.866969501,21.43136497,19.46164893,39.57277935,441.6607693,259.2574931,-123.149440267382,45.033901954576,"SHWM"
"71",65,2014,"Roserock","Roserock","1cls",1,3,9,9.3,1.03,9,2.74,9.3,2.84,8.6,9.8,5.4,39.14,0.63,8.6,2.62,8.6,2.62,9.8,2.99,9.8,2.99,5.4,1.65,5.4,1.65,2.25,0.16,0.72,2.97,0.35,23,5,296,415,16,0.01,0.45,0.2,0.75,2.03,0.99,22,3,51,1030,66,0.02,24.1,3.38,6.1,125,143,246,41905,7.2,83.47,0.6,0.6,0.4,0.6,0.4,7.2,2.2,7.2,2.2,8.3,0.44,60.05,0.44,0.3,0.44,0.3,8.3,2.53,8.3,2.53,1.36,1264,365,1629,1356,1356,12.41237233,6.864987905,17.95975676,1227.222196,16.65453363,9.828400165,23.48066709,422.9740101,2990.451627,1445.826148,109.2669636,16,12.99135104,6.698192353,19.28450973,128.9728157,0,15.54494347,8.659290851,22.43059609,19.9279852,4,0,20.76418612,12.95006218,28.57831006,43.13171096,3,19.67402042,11.79453979,27.55350105,38.31647607,4,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,872.21196,211.793993,98.97343164,303.4787041,189.3039255,851.2274577,245.3938788,628.5387247,415.9828779,1276.120739,1445.826148,67,64,43,172,15.70303543,9.676479229,21.72959164,19.85593961,42.02821402,445.1813473,260.3469931,-123.114290359184,44.9809667566161,"RIPG"
"72",66,2014,"Roserock","Roserock","1cls",2,3,8.6,10.6,1.24,8.6,2.62,10.6,3.23,7.9,9.6,6.3,34.44,0.79,7.9,2.41,7.9,2.41,9.6,2.93,9.6,2.93,6.3,1.92,6.3,1.92,2.04,0.15,0.76,2.49,0.25,21,5,281,370,17,0.01,0.44,0.15,0.57,1.85,0.7,21,2,68,1390,53,0.02,24.4,3.37,5.3,80,100,166,41905,5.3,96.23,0.51,0.51,0.34,0.51,0.34,5.3,1.62,5.3,1.62,7.8,0.29,43.54,0.29,0.19,0.29,0.19,7.8,2.38,7.8,2.38,1.76,1017,413,1430,1356,1356,12.41237233,6.864987905,17.95975676,1227.222196,16.65453363,9.828400165,23.48066709,422.9740101,2990.451627,1445.826148,109.2669636,16,12.99135104,6.698192353,19.28450973,128.9728157,0,15.54494347,8.659290851,22.43059609,19.9279852,4,0,20.76418612,12.95006218,28.57831006,43.13171096,3,19.67402042,11.79453979,27.55350105,38.31647607,4,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,872.21196,211.793993,98.97343164,303.4787041,189.3039255,851.2274577,245.3938788,628.5387247,415.9828779,1276.120739,1445.826148,67,64,43,172,15.70303543,9.676479229,21.72959164,19.85593961,42.02821402,445.1813473,260.3469931,-123.114290359184,44.9809667566161,"RIPG"
"73",67,2014,"Roserock","Roserock","1cls",3,3,8.9,10.4,1.17,8.9,2.71,10.4,3.17,8.3,9.6,7.4,22.16,0.9,8.3,2.53,8.3,2.53,9.6,2.93,9.6,2.93,7.4,2.26,7.4,2.26,1.97,0.15,0.64,2.34,0.43,24,5,204,624,19,0.01,0.42,0.16,0.59,1.76,0.95,21,3,39,1482,57,0.03,23.9,3.47,5.2,52,80,123,41905,9.4,98.51,0.93,0.93,0.62,0.93,0.62,9.4,2.87,9.4,2.87,8.3,0.36,49.48,0.36,0.24,0.36,0.24,8.3,2.53,8.3,2.53,2.58,911,428,1339,1356,1356,12.41237233,6.864987905,17.95975676,1227.222196,16.65453363,9.828400165,23.48066709,422.9740101,2990.451627,1445.826148,109.2669636,16,12.99135104,6.698192353,19.28450973,128.9728157,0,15.54494347,8.659290851,22.43059609,19.9279852,4,0,20.76418612,12.95006218,28.57831006,43.13171096,3,19.67402042,11.79453979,27.55350105,38.31647607,4,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,872.21196,211.793993,98.97343164,303.4787041,189.3039255,851.2274577,245.3938788,628.5387247,415.9828779,1276.120739,1445.826148,67,64,43,172,15.70303543,9.676479229,21.72959164,19.85593961,42.02821402,445.1813473,260.3469931,-123.114290359184,44.9809667566161,"RIPG"
"74",68,2014,"Roserock","Roserock","1cls",4,3,9.5,8.5,0.89,9.5,2.9,8.5,2.59,8.4,8.4,6,26.28,0.72,8.4,2.56,8.4,2.56,8.4,2.56,8.4,2.56,6,1.83,6,1.83,1.83,0.14,0.82,2.48,0.32,32,5,200,447,24,0.01,0.42,0.15,0.98,1.9,0.66,23,4,34,865,57,0.01,24.8,3.43,5.4,78,93,157,41905,9.4,102.02,0.96,0.96,0.64,0.96,0.64,9.4,2.87,9.4,2.87,8.2,0.27,36.28,0.27,0.18,0.27,0.18,8.2,2.5,8.2,2.5,3.62,916,399,1315,1356,1356,12.41237233,6.864987905,17.95975676,1227.222196,16.65453363,9.828400165,23.48066709,422.9740101,2990.451627,1445.826148,109.2669636,16,12.99135104,6.698192353,19.28450973,128.9728157,0,15.54494347,8.659290851,22.43059609,19.9279852,4,0,20.76418612,12.95006218,28.57831006,43.13171096,3,19.67402042,11.79453979,27.55350105,38.31647607,4,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,872.21196,211.793993,98.97343164,303.4787041,189.3039255,851.2274577,245.3938788,628.5387247,415.9828779,1276.120739,1445.826148,67,64,43,172,15.70303543,9.676479229,21.72959164,19.85593961,42.02821402,445.1813473,260.3469931,-123.114290359184,44.9809667566161,"RIPG"
"75",69,2014,"Roserock","Roserock","NoThin",1,3,10.9,10.5,0.96,10.9,3.32,10.5,3.2,10.1,9.7,9.7,0,0.95,10.1,3.08,10.1,3.08,9.7,2.96,9.7,2.96,9.7,2.96,9.7,2.96,2.35,0.17,0.69,2.74,0.34,21,5,226,324,16,0.01,0.49,0.14,0.56,1.97,0.99,21,3,75,773,60,0.02,23.4,3.31,6.5,129,122,228,41905,8,118,0.94,0.94,0.63,0.94,0.63,8,2.44,8,2.44,9.9,0.39,44.22,0.39,0.26,0.39,0.26,9.9,3.02,9.9,3.02,2.43,855,311,1166,1356,1356,12.41237233,6.864987905,17.95975676,1227.222196,16.65453363,9.828400165,23.48066709,422.9740101,2990.451627,1445.826148,109.2669636,16,12.99135104,6.698192353,19.28450973,128.9728157,0,15.54494347,8.659290851,22.43059609,19.9279852,4,0,20.76418612,12.95006218,28.57831006,43.13171096,3,19.67402042,11.79453979,27.55350105,38.31647607,4,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,872.21196,211.793993,98.97343164,303.4787041,189.3039255,851.2274577,245.3938788,628.5387247,415.9828779,1276.120739,1445.826148,67,64,43,172,15.70303543,9.676479229,21.72959164,19.85593961,42.02821402,445.1813473,260.3469931,-123.114290359184,44.9809667566161,"RIPG"
"76",70,2014,"Roserock","Roserock","NoThin",2,3,11.1,9.6,0.84,11.1,3.38,9.6,2.93,10.1,8.3,8.3,0,0.81,10.1,3.08,10.1,3.08,8.3,2.53,8.3,2.53,8.3,2.53,8.3,2.53,1.84,0.15,0.58,2.06,0.31,23,4,222,300,14,0.01,0.41,0.24,0.74,2.14,0.86,28,3,76,940,57,0.02,24.7,3.38,5.5,52,74,117,41905,7.6,91.97,0.7,0.7,0.47,0.7,0.47,7.6,2.32,7.6,2.32,10.8,0.3,30.46,0.3,0.2,0.3,0.2,10.8,3.29,10.8,3.29,2.37,982,447,1429,1356,1356,12.41237233,6.864987905,17.95975676,1227.222196,16.65453363,9.828400165,23.48066709,422.9740101,2990.451627,1445.826148,109.2669636,16,12.99135104,6.698192353,19.28450973,128.9728157,0,15.54494347,8.659290851,22.43059609,19.9279852,4,0,20.76418612,12.95006218,28.57831006,43.13171096,3,19.67402042,11.79453979,27.55350105,38.31647607,4,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,872.21196,211.793993,98.97343164,303.4787041,189.3039255,851.2274577,245.3938788,628.5387247,415.9828779,1276.120739,1445.826148,67,64,43,172,15.70303543,9.676479229,21.72959164,19.85593961,42.02821402,445.1813473,260.3469931,-123.114290359184,44.9809667566161,"RIPG"
"77",71,2014,"Roserock","Roserock","NoThin",3,3,8,8.8,1.12,8,2.44,8.8,2.68,7.9,8.4,8.4,0,1.07,7.9,2.41,7.9,2.41,8.4,2.56,8.4,2.56,8.4,2.56,8.4,2.56,1.95,0.14,0.54,2.79,0.33,21,3,282,462,16,0.01,0.41,0.12,0.35,1.98,0.88,21,3,57,1065,50,0.02,24.8,3.3,5.7,69,79,136,41905,8.3,101.08,0.84,0.84,0.56,0.84,0.56,8.3,2.53,8.3,2.53,7.9,0.25,36.08,0.25,0.17,0.25,0.17,7.9,2.41,7.9,2.41,3.36,954,391,1345,1356,1356,12.41237233,6.864987905,17.95975676,1227.222196,16.65453363,9.828400165,23.48066709,422.9740101,2990.451627,1445.826148,109.2669636,16,12.99135104,6.698192353,19.28450973,128.9728157,0,15.54494347,8.659290851,22.43059609,19.9279852,4,0,20.76418612,12.95006218,28.57831006,43.13171096,3,19.67402042,11.79453979,27.55350105,38.31647607,4,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,872.21196,211.793993,98.97343164,303.4787041,189.3039255,851.2274577,245.3938788,628.5387247,415.9828779,1276.120739,1445.826148,67,64,43,172,15.70303543,9.676479229,21.72959164,19.85593961,42.02821402,445.1813473,260.3469931,-123.114290359184,44.9809667566161,"RIPG"
"78",72,2014,"Roserock","Roserock","NoThin",4,3,8.9,8.2,0.93,8.9,2.71,8.2,2.5,9.1,8,8,0,0.87,9.1,2.77,9.1,2.77,8,2.44,8,2.44,8,2.44,8,2.44,2.04,0.14,0.63,2.95,0.31,23,5,252,423,17,0.01,0.4,0.13,0.39,2.07,0.95,22,3,47,1151,61,0.02,24.3,3.32,5.7,85,92,162,41905,6.4,98.75,0.63,0.63,0.42,0.63,0.42,6.4,1.95,6.4,1.95,9,0.27,32.63,0.27,0.18,0.27,0.18,9,2.74,9,2.74,2.38,963,352,1315,1356,1356,12.41237233,6.864987905,17.95975676,1227.222196,16.65453363,9.828400165,23.48066709,422.9740101,2990.451627,1445.826148,109.2669636,16,12.99135104,6.698192353,19.28450973,128.9728157,0,15.54494347,8.659290851,22.43059609,19.9279852,4,0,20.76418612,12.95006218,28.57831006,43.13171096,3,19.67402042,11.79453979,27.55350105,38.31647607,4,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,872.21196,211.793993,98.97343164,303.4787041,189.3039255,851.2274577,245.3938788,628.5387247,415.9828779,1276.120739,1445.826148,67,64,43,172,15.70303543,9.676479229,21.72959164,19.85593961,42.02821402,445.1813473,260.3469931,-123.114290359184,44.9809667566161,"RIPG"
